feature
num__mean radius
num__mean texture
num__mean perimeter
num__mean area
num__mean smoothness
num__mean compactness
num__mean concavity
num__mean concave points
num__mean symmetry
num__mean fractal dimension
num__radius error
num__texture error
num__perimeter error
num__area error
num__smoothness error
num__compactness error
num__concavity error
num__concave points error
num__symmetry error
num__fractal dimension error
num__worst radius
num__worst texture
num__worst perimeter
num__worst area
num__worst smoothness
num__worst compactness
num__worst concavity
num__worst concave points
num__worst symmetry
num__worst fractal dimension
